Notes,State,County,County Code,Injury Intent,Injury Intent Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,% of Total Deaths
, FL,Union County,12125,Unintentional,1,142,280957,50.5,42.2,58.9,4.2,0.00%
, FL,Union County,12125,Suicide,2,52,280957,18.5,13.8,24.3,2.6,0.00%
, FL,Union County,12125,Homicide,3,19,280957,Unreliable,4.1,10.6,1.6,0.00%
, FL,Union County,12125,Legal Intervention / Operations of War,5,12,280957,Unreliable,2.2,7.5,1.2,0.00%
, FL,Union County,12125,"Non-Injury, no intent classified",9,3404,280957,1211.6,1170.9,1252.3,20.8,0.00%
, FL,Volusia County,12127,Unintentional,1,4996,9286636,53.8,52.3,55.3,0.8,0.00%
, FL,Volusia County,12127,Suicide,2,1886,9286636,20.3,19.4,21.2,0.5,0.00%
, FL,Volusia County,12127,Homicide,3,455,9286636,4.9,4.4,5.3,0.2,0.00%
, FL,Volusia County,12127,Undetermined ,4,69,9286636,0.7,0.6,0.9,0.1,0.00%
, FL,Volusia County,12127,"Non-Injury, no intent classified",9,111001,9286636,1195.3,1188.2,1202.3,3.6,0.20%
, FL,Wakulla County,12129,Unintentional,1,283,537588,52.6,46.5,58.8,3.1,0.00%
, FL,Wakulla County,12129,Suicide,2,90,537588,16.7,13.5,20.6,1.8,0.00%
, FL,Wakulla County,12129,Homicide,3,27,537588,5,3.3,7.3,1,0.00%
, FL,Wakulla County,12129,"Non-Injury, no intent classified",9,3901,537588,725.6,702.9,748.4,11.6,0.00%
, FL,Walton County,12131,Unintentional,1,609,1008404,60.4,55.6,65.2,2.4,0.00%
, FL,Walton County,12131,Suicide,2,197,1008404,19.5,16.8,22.3,1.4,0.00%
, FL,Walton County,12131,Homicide,3,35,1008404,3.5,2.4,4.8,0.6,0.00%
, FL,Walton County,12131,Undetermined ,4,11,1008404,Unreliable,0.5,2,0.3,0.00%
, FL,Walton County,12131,"Non-Injury, no intent classified",9,8895,1008404,882.1,863.8,900.4,9.4,0.00%
, FL,Washington County,12133,Unintentional,1,302,443515,68.1,60.4,75.8,3.9,0.00%
, FL,Washington County,12133,Suicide,2,79,443515,17.8,14.1,22.2,2,0.00%
, FL,Washington County,12133,Homicide,3,41,443515,9.2,6.6,12.5,1.4,0.00%
, FL,Washington County,12133,"Non-Injury, no intent classified",9,4671,443515,1053.2,1023,1083.4,15.4,0.00%
, GA,Appling County,13001,Unintentional,1,245,342334,71.6,62.6,80.5,4.6,0.00%
, GA,Appling County,13001,Suicide,2,43,342334,12.6,9.1,16.9,1.9,0.00%
, GA,Appling County,13001,Homicide,3,21,342334,6.1,3.8,9.4,1.3,0.00%
, GA,Appling County,13001,"Non-Injury, no intent classified",9,3327,342334,971.9,938.8,1004.9,16.8,0.00%
, GA,Atkinson County,13003,Unintentional,1,121,154537,78.3,64.3,92.2,7.1,0.00%
, GA,Atkinson County,13003,Suicide,2,14,154537,Unreliable,5,15.2,2.4,0.00%
, GA,Atkinson County,13003,Homicide,3,13,154537,Unreliable,4.5,14.4,2.3,0.00%
, GA,Atkinson County,13003,"Non-Injury, no intent classified",9,1250,154537,808.9,764,853.7,22.9,0.00%
, GA,Bacon County,13005,Unintentional,1,157,205233,76.5,64.5,88.5,6.1,0.00%
, GA,Bacon County,13005,Suicide,2,25,205233,12.2,7.9,18,2.4,0.00%
, GA,Bacon County,13005,Homicide,3,18,205233,Unreliable,5.2,13.9,2.1,0.00%
, GA,Bacon County,13005,"Non-Injury, no intent classified",9,2179,205233,1061.7,1017.1,1106.3,22.7,0.00%
, GA,Baker County,13007,Unintentional,1,33,69105,47.8,32.9,67.1,8.3,0.00%
, GA,Baker County,13007,Suicide,2,10,69105,Unreliable,6.9,26.6,4.6,0.00%
, GA,Baker County,13007,"Non-Injury, no intent classified",9,598,69105,865.3,796,934.7,35.4,0.00%
, GA,Baldwin County,13009,Unintentional,1,329,869563,37.8,33.7,41.9,2.1,0.00%
, GA,Baldwin County,13009,Suicide,2,105,869563,12.1,9.8,14.4,1.2,0.00%
, GA,Baldwin County,13009,Homicide,3,73,869563,8.4,6.6,10.6,1,0.00%
, GA,Baldwin County,13009,"Non-Injury, no intent classified",9,7129,869563,819.8,800.8,838.9,9.7,0.00%
, GA,Banks County,13011,Unintentional,1,189,325723,58,49.8,66.3,4.2,0.00%
, GA,Banks County,13011,Suicide,2,52,325723,16,11.9,20.9,2.2,0.00%
, GA,Banks County,13011,"Non-Injury, no intent classified",9,2309,325723,708.9,680,737.8,14.8,0.00%
, GA,Barrow County,13013,Unintentional,1,576,1202276,47.9,44,51.8,2,0.00%
, GA,Barrow County,13013,Suicide,2,191,1202276,15.9,13.6,18.1,1.1,0.00%
, GA,Barrow County,13013,Homicide,3,58,1202276,4.8,3.7,6.2,0.6,0.00%
, GA,Barrow County,13013,"Non-Injury, no intent classified",9,7992,1202276,664.7,650.2,679.3,7.4,0.00%
, GA,Bartow County,13015,Unintentional,1,861,1779911,48.4,45.1,51.6,1.6,0.00%
, GA,Bartow County,13015,Suicide,2,269,1779911,15.1,13.3,16.9,0.9,0.00%
, GA,Bartow County,13015,Homicide,3,80,1779911,4.5,3.6,5.6,0.5,0.00%
, GA,Bartow County,13015,Undetermined ,4,11,1779911,Unreliable,0.3,1.1,0.2,0.00%
, GA,Bartow County,13015,"Non-Injury, no intent classified",9,12970,1779911,728.7,716.1,741.2,6.4,0.00%
, GA,Ben Hill County,13017,Unintentional,1,150,330903,45.3,38.1,52.6,3.7,0.00%
, GA,Ben Hill County,13017,Suicide,2,29,330903,8.8,5.9,12.6,1.6,0.00%
, GA,Ben Hill County,13017,Homicide,3,37,330903,11.2,7.9,15.4,1.8,0.00%
, GA,Ben Hill County,13017,"Non-Injury, no intent classified",9,3760,330903,1136.3,1100,1172.6,18.5,0.00%
, GA,Berrien County,13019,Unintentional,1,173,344360,50.2,42.8,57.7,3.8,0.00%
, GA,Berrien County,13019,Suicide,2,52,344360,15.1,11.3,19.8,2.1,0.00%
, GA,Berrien County,13019,Homicide,3,11,344360,Unreliable,1.6,5.7,1,0.00%
, GA,Berrien County,13019,"Non-Injury, no intent classified",9,3381,344360,981.8,948.7,1014.9,16.9,0.00%
, GA,Bibb County,13021,Unintentional,1,1440,2932222,49.1,46.6,51.6,1.3,0.00%
, GA,Bibb County,13021,Suicide,2,333,2932222,11.4,10.1,12.6,0.6,0.00%
, GA,Bibb County,13021,Homicide,3,413,2932222,14.1,12.7,15.4,0.7,0.00%
, GA,Bibb County,13021,Undetermined ,4,22,2932222,0.8,0.5,1.1,0.2,0.00%
, GA,Bibb County,13021,"Non-Injury, no intent classified",9,29705,2932222,1013.1,1001.5,1024.6,5.9,0.10%
, GA,Bleckley County,13023,Unintentional,1,131,237192,55.2,45.8,64.7,4.8,0.00%
, GA,Bleckley County,13023,Suicide,2,44,237192,18.6,13.5,24.9,2.8,0.00%
, GA,Bleckley County,13023,Homicide,3,15,237192,Unreliable,3.5,10.4,1.6,0.00%
, GA,Bleckley County,13023,"Non-Injury, no intent classified",9,2374,237192,1000.9,960.6,1041.1,20.5,0.00%
, GA,Brantley County,13025,Unintentional,1,237,325745,72.8,63.5,82,4.7,0.00%
, GA,Brantley County,13025,Suicide,2,39,325745,12,8.5,16.4,1.9,0.00%
, GA,Brantley County,13025,Homicide,3,18,325745,Unreliable,3.3,8.7,1.3,0.00%
, GA,Brantley County,13025,"Non-Injury, no intent classified",9,2780,325745,853.4,821.7,885.2,16.2,0.00%
, GA,Brooks County,13027,Unintentional,1,163,304560,53.5,45.3,61.7,4.2,0.00%
, GA,Brooks County,13027,Suicide,2,39,304560,12.8,9.1,17.5,2.1,0.00%
, GA,Brooks County,13027,Homicide,3,19,304560,Unreliable,3.8,9.7,1.4,0.00%
, GA,Brooks County,13027,"Non-Injury, no intent classified",9,3352,304560,1100.6,1063.3,1137.9,19,0.00%
, GA,Bryan County,13029,Unintentional,1,238,556625,42.8,37.3,48.2,2.8,0.00%
, GA,Bryan County,13029,Suicide,2,76,556625,13.7,10.8,17.1,1.6,0.00%
, GA,Bryan County,13029,Homicide,3,28,556625,5,3.3,7.3,1,0.00%
, GA,Bryan County,13029,"Non-Injury, no intent classified",9,3612,556625,648.9,627.7,670.1,10.8,0.00%
, GA,Bulloch County,13031,Unintentional,1,464,1256906,36.9,33.6,40.3,1.7,0.00%
, GA,Bulloch County,13031,Suicide,2,134,1256906,10.7,8.9,12.5,0.9,0.00%
, GA,Bulloch County,13031,Homicide,3,47,1256906,3.7,2.7,5,0.5,0.00%
, GA,Bulloch County,13031,"Non-Injury, no intent classified",9,7950,1256906,632.5,618.6,646.4,7.1,0.00%
, GA,Burke County,13033,Unintentional,1,308,433685,71,63.1,79,4,0.00%
, GA,Burke County,13033,Suicide,2,57,433685,13.1,10,17,1.7,0.00%
, GA,Burke County,13033,Homicide,3,48,433685,11.1,8.2,14.7,1.6,0.00%
, GA,Burke County,13033,"Non-Injury, no intent classified",9,4017,433685,926.2,897.6,954.9,14.6,0.00%
, GA,Butts County,13035,Unintentional,1,279,427139,65.3,57.7,73,3.9,0.00%
, GA,Butts County,13035,Suicide,2,59,427139,13.8,10.5,17.8,1.8,0.00%
, GA,Butts County,13035,Homicide,3,30,427139,7,4.7,10,1.3,0.00%
, GA,Butts County,13035,Legal Intervention / Operations of War,5,30,427139,7,4.7,10,1.3,0.00%
, GA,Butts County,13035,"Non-Injury, no intent classified",9,3955,427139,925.9,897.1,954.8,14.7,0.00%
, GA,Calhoun County,13037,Unintentional,1,45,121901,36.9,26.9,49.4,5.5,0.00%
, GA,Calhoun County,13037,Homicide,3,19,121901,Unreliable,9.4,24.3,3.6,0.00%
, GA,Calhoun County,13037,"Non-Injury, no intent classified",9,1236,121901,1013.9,957.4,1070.5,28.8,0.00%
, GA,Camden County,13039,Unintentional,1,336,924095,36.4,32.5,40.2,2,0.00%
, GA,Camden County,13039,Suicide,2,120,924095,13,10.7,15.3,1.2,0.00%
, GA,Camden County,13039,Homicide,3,42,924095,4.5,3.3,6.1,0.7,0.00%
, GA,Camden County,13039,"Non-Injury, no intent classified",9,4704,924095,509,494.5,523.6,7.4,0.00%
, GA,Candler County,13043,Unintentional,1,125,198809,62.9,51.9,73.9,5.6,0.00%
, GA,Candler County,13043,Suicide,2,26,198809,13.1,8.5,19.2,2.6,0.00%
, GA,Candler County,13043,Homicide,3,21,198809,10.6,6.5,16.1,2.3,0.00%
, GA,Candler County,13043,"Non-Injury, no intent classified",9,2300,198809,1156.9,1109.6,1204.2,24.1,0.00%
, GA,Carroll County,13045,Unintentional,1,1115,2001072,55.7,52.4,59,1.7,0.00%
, GA,Carroll County,13045,Suicide,2,287,2001072,14.3,12.7,16,0.8,0.00%
, GA,Carroll County,13045,Homicide,3,100,2001072,5,4,6,0.5,0.00%
, GA,Carroll County,13045,Undetermined ,4,18,2001072,Unreliable,0.5,1.4,0.2,0.00%
, GA,Carroll County,13045,"Non-Injury, no intent classified",9,15706,2001072,784.9,772.6,797.2,6.3,0.00%
, GA,Catoosa County,13047,Unintentional,1,539,1166514,46.2,42.3,50.1,2,0.00%
, GA,Catoosa County,13047,Suicide,2,148,1166514,12.7,10.6,14.7,1,0.00%
, GA,Catoosa County,13047,Homicide,3,34,1166514,2.9,2,4.1,0.5,0.00%
, GA,Catoosa County,13047,Undetermined ,4,18,1166514,Unreliable,0.9,2.4,0.4,0.00%
, GA,Catoosa County,13047,"Non-Injury, no intent classified",9,9194,1166514,788.2,772,804.3,8.2,0.00%
, GA,Charlton County,13049,Unintentional,1,120,229051,52.4,43,61.8,4.8,0.00%
, GA,Charlton County,13049,Suicide,2,29,229051,12.7,8.5,18.2,2.4,0.00%
, GA,Charlton County,13049,Homicide,3,14,229051,Unreliable,3.3,10.3,1.6,0.00%
, GA,Charlton County,13049,"Non-Injury, no intent classified",9,1722,229051,751.8,716.3,787.3,18.1,0.00%
, GA,Chatham County,13051,Unintentional,1,2005,4912472,40.8,39,42.6,0.9,0.00%
, GA,Chatham County,13051,Suicide,2,594,4912472,12.1,11.1,13.1,0.5,0.00%
, GA,Chatham County,13051,Homicide,3,677,4912472,13.8,12.7,14.8,0.5,0.00%
, GA,Chatham County,13051,Undetermined ,4,43,4912472,0.9,0.6,1.2,0.1,0.00%
, GA,Chatham County,13051,"Non-Injury, no intent classified",9,40140,4912472,817.1,809.1,825.1,4.1,0.10%
, GA,Chattahoochee County,13053,Unintentional,1,54,249123,21.7,16.3,28.3,2.9,0.00%
, GA,Chattahoochee County,13053,Suicide,2,26,249123,10.4,6.8,15.3,2,0.00%
, GA,Chattahoochee County,13053,Homicide,3,10,249123,Unreliable,1.9,7.4,1.3,0.00%
, GA,Chattahoochee County,13053,"Non-Injury, no intent classified",9,566,249123,227.2,208.5,245.9,9.5,0.00%
, GA,Chattooga County,13055,Unintentional,1,306,484994,63.1,56,70.2,3.6,0.00%
, GA,Chattooga County,13055,Suicide,2,65,484994,13.4,10.3,17.1,1.7,0.00%
, GA,Chattooga County,13055,Homicide,3,21,484994,4.3,2.7,6.6,0.9,0.00%
, GA,Chattooga County,13055,"Non-Injury, no intent classified",9,5259,484994,1084.3,1055,1113.7,15,0.00%
, GA,Cherokee County,13057,Unintentional,1,1248,3761496,33.2,31.3,35,0.9,0.00%
, GA,Cherokee County,13057,Suicide,2,463,3761496,12.3,11.2,13.4,0.6,0.00%
, GA,Cherokee County,13057,Homicide,3,80,3761496,2.1,1.7,2.6,0.2,0.00%
, GA,Cherokee County,13057,Undetermined ,4,17,3761496,Unreliable,0.3,0.7,0.1,0.00%
, GA,Cherokee County,13057,"Non-Injury, no intent classified",9,18988,3761496,504.8,497.6,512,3.7,0.00%
, GA,Clarke County,13059,Unintentional,1,607,2166690,28,25.8,30.2,1.1,0.00%
, GA,Clarke County,13059,Suicide,2,243,2166690,11.2,9.8,12.6,0.7,0.00%
, GA,Clarke County,13059,Homicide,3,110,2166690,5.1,4.1,6,0.5,0.00%
, GA,Clarke County,13059,Undetermined ,4,18,2166690,Unreliable,0.5,1.3,0.2,0.00%
, GA,Clarke County,13059,"Non-Injury, no intent classified",9,11814,2166690,545.3,535.4,555.1,5,0.00%
, GA,Clay County,13061,Unintentional,1,38,60738,62.6,44.3,85.9,10.1,0.00%
, GA,Clay County,13061,"Non-Injury, no intent classified",9,845,60738,1391.2,1297.4,1485,47.9,0.00%
, GA,Clayton County,13063,Unintentional,1,1468,4923344,29.8,28.3,31.3,0.8,0.00%
, GA,Clayton County,13063,Suicide,2,393,4923344,8,7.2,8.8,0.4,0.00%
, GA,Clayton County,13063,Homicide,3,602,4923344,12.2,11.3,13.2,0.5,0.00%
, GA,Clayton County,13063,Undetermined ,4,34,4923344,0.7,0.5,1,0.1,0.00%
, GA,Clayton County,13063,"Non-Injury, no intent classified",9,24517,4923344,498,491.7,504.2,3.2,0.10%
, GA,Clinch County,13065,Unintentional,1,79,130089,60.7,48.1,75.7,6.8,0.00%
, GA,Clinch County,13065,Suicide,2,12,130089,Unreliable,4.8,16.1,2.7,0.00%
, GA,Clinch County,13065,Homicide,3,10,130089,Unreliable,3.7,14.1,2.4,0.00%
, GA,Clinch County,13065,"Non-Injury, no intent classified",9,1349,130089,1037,981.6,1092.3,28.2,0.00%
, GA,Cobb County,13067,Unintentional,1,4182,12855815,32.5,31.5,33.5,0.5,0.00%
, GA,Cobb County,13067,Suicide,2,1296,12855815,10.1,9.5,10.6,0.3,0.00%
, GA,Cobb County,13067,Homicide,3,594,12855815,4.6,4.2,5,0.2,0.00%
, GA,Cobb County,13067,Undetermined ,4,128,12855815,1,0.8,1.2,0.1,0.00%
, GA,Cobb County,13067,Legal Intervention / Operations of War,5,10,12855815,Unreliable,0,0.1,0,0.00%
, GA,Cobb County,13067,"Non-Injury, no intent classified",9,62838,12855815,488.8,485,492.6,1.9,0.10%
, GA,Coffee County,13069,Unintentional,1,427,779220,54.8,49.6,60,2.7,0.00%
, GA,Coffee County,13069,Suicide,2,91,779220,11.7,9.4,14.3,1.2,0.00%
, GA,Coffee County,13069,Homicide,3,62,779220,8,6.1,10.2,1,0.00%
, GA,Coffee County,13069,"Non-Injury, no intent classified",9,6275,779220,805.3,785.4,825.2,10.2,0.00%
, GA,Colquitt County,13071,Unintentional,1,527,842094,62.6,57.2,67.9,2.7,0.00%
, GA,Colquitt County,13071,Suicide,2,105,842094,12.5,10.1,14.9,1.2,0.00%
, GA,Colquitt County,13071,Homicide,3,92,842094,10.9,8.8,13.4,1.1,0.00%
, GA,Colquitt County,13071,"Non-Injury, no intent classified",9,7890,842094,937,916.3,957.6,10.5,0.00%
, GA,Columbia County,13073,Unintentional,1,733,2240114,32.7,30.4,35.1,1.2,0.00%
, GA,Columbia County,13073,Suicide,2,276,2240114,12.3,10.9,13.8,0.7,0.00%
, GA,Columbia County,13073,Homicide,3,52,2240114,2.3,1.7,3,0.3,0.00%
, GA,Columbia County,13073,Undetermined ,4,16,2240114,Unreliable,0.4,1.2,0.2,0.00%
, GA,Columbia County,13073,"Non-Injury, no intent classified",9,12316,2240114,549.8,540.1,559.5,5,0.00%
, GA,Cook County,13075,Unintentional,1,170,316858,53.7,45.6,61.7,4.1,0.00%
, GA,Cook County,13075,Suicide,2,45,316858,14.2,10.4,19,2.1,0.00%
, GA,Cook County,13075,Homicide,3,25,316858,7.9,5.1,11.6,1.6,0.00%
, GA,Cook County,13075,"Non-Injury, no intent classified",9,3179,316858,1003.3,968.4,1038.2,17.8,0.00%
, GA,Coweta County,13077,Unintentional,1,861,2238092,38.5,35.9,41,1.3,0.00%
, GA,Coweta County,13077,Suicide,2,272,2238092,12.2,10.7,13.6,0.7,0.00%
, GA,Coweta County,13077,Homicide,3,81,2238092,3.6,2.9,4.5,0.4,0.00%
, GA,Coweta County,13077,"Non-Injury, no intent classified",9,14177,2238092,633.4,623,643.9,5.3,0.00%
, GA,Crawford County,13079,Unintentional,1,128,239373,53.5,44.2,62.7,4.7,0.00%
, GA,Crawford County,13079,Suicide,2,37,239373,15.5,10.9,21.3,2.5,0.00%
, GA,Crawford County,13079,Homicide,3,13,239373,Unreliable,2.9,9.3,1.5,0.00%
, GA,Crawford County,13079,"Non-Injury, no intent classified",9,1882,239373,786.2,750.7,821.7,18.1,0.00%
, GA,Crisp County,13081,Unintentional,1,208,433177,48,41.5,54.5,3.3,0.00%
, GA,Crisp County,13081,Suicide,2,52,433177,12,9,15.7,1.7,0.00%
, GA,Crisp County,13081,Homicide,3,54,433177,12.5,9.4,16.3,1.7,0.00%
, GA,Crisp County,13081,"Non-Injury, no intent classified",9,4362,433177,1007,977.1,1036.9,15.2,0.00%
, GA,Dade County,13083,Unintentional,1,186,307240,60.5,51.8,69.2,4.4,0.00%
, GA,Dade County,13083,Suicide,2,53,307240,17.3,12.9,22.6,2.4,0.00%
, GA,Dade County,13083,"Non-Injury, no intent classified",9,2914,307240,948.4,914,982.9,17.6,0.00%
, GA,Dawson County,13085,Unintentional,1,223,393040,56.7,49.3,64.2,3.8,0.00%
, GA,Dawson County,13085,Suicide,2,81,393040,20.6,16.4,25.6,2.3,0.00%
, GA,Dawson County,13085,"Non-Injury, no intent classified",9,2788,393040,709.3,683,735.7,13.4,0.00%
, GA,Decatur County,13087,Unintentional,1,303,525256,57.7,51.2,64.2,3.3,0.00%
, GA,Decatur County,13087,Suicide,2,70,525256,13.3,10.4,16.8,1.6,0.00%
, GA,Decatur County,13087,Homicide,3,38,525256,7.2,5.1,9.9,1.2,0.00%
, GA,Decatur County,13087,"Non-Injury, no intent classified",9,5419,525256,1031.7,1004.2,1059.2,14,0.00%
, GA,DeKalb County,13089,Unintentional,1,3821,13163303,29,28.1,29.9,0.5,0.00%
, GA,DeKalb County,13089,Suicide,2,1094,13163303,8.3,7.8,8.8,0.3,0.00%
, GA,DeKalb County,13089,Homicide,3,1661,13163303,12.6,12,13.2,0.3,0.00%
, GA,DeKalb County,13089,Undetermined ,4,139,13163303,1.1,0.9,1.2,0.1,0.00%
, GA,DeKalb County,13089,Legal Intervention / Operations of War,5,15,13163303,Unreliable,0.1,0.2,0,0.00%
, GA,DeKalb County,13089,"Non-Injury, no intent classified",9,71207,13163303,541,537,544.9,2,0.10%
, GA,Dodge County,13091,Unintentional,1,223,393271,56.7,49.3,64.1,3.8,0.00%
, GA,Dodge County,13091,Suicide,2,55,393271,14,10.5,18.2,1.9,0.00%
, GA,Dodge County,13091,Homicide,3,24,393271,6.1,3.9,9.1,1.2,0.00%
, GA,Dodge County,13091,"Non-Injury, no intent classified",9,3914,393271,995.2,964.1,1026.4,15.9,0.00%
, GA,Dooly County,13093,Unintentional,1,108,256277,42.1,34.2,50.1,4.1,0.00%
, GA,Dooly County,13093,Suicide,2,25,256277,9.8,6.3,14.4,2,0.00%
, GA,Dooly County,13093,Homicide,3,10,256277,Unreliable,1.9,7.2,1.2,0.00%
, GA,Dooly County,13093,"Non-Injury, no intent classified",9,2089,256277,815.1,780.2,850.1,17.8,0.00%
, GA,Dougherty County,13095,Unintentional,1,600,1785930,33.6,30.9,36.3,1.4,0.00%
, GA,Dougherty County,13095,Suicide,2,163,1785930,9.1,7.7,10.5,0.7,0.00%
, GA,Dougherty County,13095,Homicide,3,181,1785930,10.1,8.7,11.6,0.8,0.00%
, GA,Dougherty County,13095,Undetermined ,4,11,1785930,Unreliable,0.3,1.1,0.2,0.00%
, GA,Dougherty County,13095,"Non-Injury, no intent classified",9,15879,1785930,889.1,875.3,902.9,7.1,0.00%
, GA,Douglas County,13097,Unintentional,1,897,2308197,38.9,36.3,41.4,1.3,0.00%
, GA,Douglas County,13097,Suicide,2,265,2308197,11.5,10.1,12.9,0.7,0.00%
, GA,Douglas County,13097,Homicide,3,118,2308197,5.1,4.2,6,0.5,0.00%
, GA,Douglas County,13097,Undetermined ,4,10,2308197,Unreliable,0.2,0.8,0.1,0.00%
, GA,Douglas County,13097,"Non-Injury, no intent classified",9,13543,2308197,586.7,576.9,596.6,5,0.00%
, GA,Early County,13099,Unintentional,1,138,214509,64.3,53.6,75.1,5.5,0.00%
, GA,Early County,13099,Suicide,2,27,214509,12.6,8.3,18.3,2.4,0.00%
, GA,Early County,13099,Homicide,3,19,214509,Unreliable,5.3,13.8,2,0.00%
, GA,Early County,13099,"Non-Injury, no intent classified",9,2536,214509,1182.2,1136.2,1228.2,23.5,0.00%
, GA,Echols County,13101,Unintentional,1,41,74514,55,39.5,74.6,8.6,0.00%
, GA,Echols County,13101,"Non-Injury, no intent classified",9,412,74514,552.9,499.5,606.3,27.2,0.00%
, GA,Effingham County,13103,Unintentional,1,433,929823,46.6,42.2,51,2.2,0.00%
, GA,Effingham County,13103,Suicide,2,128,929823,13.8,11.4,16.2,1.2,0.00%
, GA,Effingham County,13103,Homicide,3,31,929823,3.3,2.3,4.7,0.6,0.00%
, GA,Effingham County,13103,"Non-Injury, no intent classified",9,5725,929823,615.7,599.8,631.7,8.1,0.00%
, GA,Elbert County,13105,Unintentional,1,253,382331,66.2,58,74.3,4.2,0.00%
, GA,Elbert County,13105,Suicide,2,64,382331,16.7,12.9,21.4,2.1,0.00%
, GA,Elbert County,13105,Homicide,3,24,382331,6.3,4,9.3,1.3,0.00%
, GA,Elbert County,13105,"Non-Injury, no intent classified",9,4364,382331,1141.4,1107.6,1175.3,17.3,0.00%
, GA,Emanuel County,13107,Unintentional,1,252,422422,59.7,52.3,67,3.8,0.00%
, GA,Emanuel County,13107,Suicide,2,54,422422,12.8,9.6,16.7,1.7,0.00%
, GA,Emanuel County,13107,Homicide,3,38,422422,9,6.4,12.3,1.5,0.00%
, GA,Emanuel County,13107,"Non-Injury, no intent classified",9,4736,422422,1121.2,1089.2,1153.1,16.3,0.00%
, GA,Evans County,13109,Unintentional,1,131,205705,63.7,52.8,74.6,5.6,0.00%
, GA,Evans County,13109,Suicide,2,27,205705,13.1,8.6,19.1,2.5,0.00%
, GA,Evans County,13109,Homicide,3,10,205705,Unreliable,2.3,8.9,1.5,0.00%
, GA,Evans County,13109,"Non-Injury, no intent classified",9,2032,205705,987.8,944.9,1030.8,21.9,0.00%
, GA,Fannin County,13111,Unintentional,1,302,432105,69.9,62,77.8,4,0.00%
, GA,Fannin County,13111,Suicide,2,89,432105,20.6,16.5,25.3,2.2,0.00%
, GA,Fannin County,13111,Homicide,3,17,432105,Unreliable,2.3,6.3,1,0.00%
, GA,Fannin County,13111,"Non-Injury, no intent classified",9,5068,432105,1172.9,1140.6,1205.2,16.5,0.00%
, GA,Fayette County,13113,Unintentional,1,588,1964003,29.9,27.5,32.4,1.2,0.00%
, GA,Fayette County,13113,Suicide,2,198,1964003,10.1,8.7,11.5,0.7,0.00%
, GA,Fayette County,13113,Homicide,3,57,1964003,2.9,2.2,3.8,0.4,0.00%
, GA,Fayette County,13113,Undetermined ,4,10,1964003,Unreliable,0.2,0.9,0.2,0.00%
, GA,Fayette County,13113,"Non-Injury, no intent classified",9,12075,1964003,614.8,603.8,625.8,5.6,0.00%
, GA,Floyd County,13115,Unintentional,1,962,1799709,53.5,50.1,56.8,1.7,0.00%
, GA,Floyd County,13115,Suicide,2,284,1799709,15.8,13.9,17.6,0.9,0.00%
, GA,Floyd County,13115,Homicide,3,94,1799709,5.2,4.2,6.4,0.5,0.00%
, GA,Floyd County,13115,Undetermined ,4,22,1799709,1.2,0.8,1.9,0.3,0.00%
, GA,Floyd County,13115,"Non-Injury, no intent classified",9,17812,1799709,989.7,975.2,1004.3,7.4,0.00%
, GA,Forsyth County,13117,Unintentional,1,851,3055007,27.9,26,29.7,1,0.00%
, GA,Forsyth County,13117,Suicide,2,333,3055007,10.9,9.7,12.1,0.6,0.00%
, GA,Forsyth County,13117,Homicide,3,45,3055007,1.5,1.1,2,0.2,0.00%
, GA,Forsyth County,13117,Undetermined ,4,16,3055007,Unreliable,0.3,0.9,0.1,0.00%
, GA,Forsyth County,13117,"Non-Injury, no intent classified",9,13381,3055007,438,430.6,445.4,3.8,0.00%
, GA,Franklin County,13119,Unintentional,1,283,412422,68.6,60.6,76.6,4.1,0.00%
, GA,Franklin County,13119,Suicide,2,86,412422,20.9,16.7,25.8,2.2,0.00%
, GA,Franklin County,13119,Homicide,3,27,412422,6.5,4.3,9.5,1.3,0.00%
, GA,Franklin County,13119,"Non-Injury, no intent classified",9,4515,412422,1094.8,1062.8,1126.7,16.3,0.00%
, GA,Fulton County,13121,Unintentional,1,6183,17112195,36.1,35.2,37,0.5,0.00%
, GA,Fulton County,13121,Suicide,2,1739,17112195,10.2,9.7,10.6,0.2,0.00%
, GA,Fulton County,13121,Homicide,3,2371,17112195,13.9,13.3,14.4,0.3,0.00%
, GA,Fulton County,13121,Undetermined ,4,170,17112195,1,0.8,1.1,0.1,0.00%
, GA,Fulton County,13121,Legal Intervention / Operations of War,5,52,17112195,0.3,0.2,0.4,0,0.00%
, GA,Fulton County,13121,"Non-Injury, no intent classified",9,107406,17112195,627.7,623.9,631.4,1.9,0.20%
, GA,Gilmer County,13123,Unintentional,1,321,517587,62,55.2,68.8,3.5,0.00%
, GA,Gilmer County,13123,Suicide,2,96,517587,18.5,15,22.6,1.9,0.00%
, GA,Gilmer County,13123,Homicide,3,21,517587,4.1,2.5,6.2,0.9,0.00%
, GA,Gilmer County,13123,"Non-Injury, no intent classified",9,4425,517587,854.9,829.7,880.1,12.9,0.00%
, GA,Glascock County,13125,Unintentional,1,38,55002,69.1,48.9,94.8,11.2,0.00%
, GA,Glascock County,13125,"Non-Injury, no intent classified",9,714,55002,1298.1,1202.9,1393.4,48.6,0.00%
, GA,Glynn County,13127,Unintentional,1,723,1453837,49.7,46.1,53.4,1.8,0.00%
, GA,Glynn County,13127,Suicide,2,189,1453837,13,11.1,14.9,0.9,0.00%
